STORE_NM,ADDR,UPJONG_DESC
서비식당,"서울 동대문구  서울시립대로27길  40-0, 1층 (전농동)",한식_SUB

크로스핏하이퍼짐,"강원 춘천시  서부대성로239번길  29-0, (효자동)",SEARCH_ADD

다온까페,"충남 천안시 서북구  성정공원1길  9-13, 12층 (성정동)",SEARCH_ADD

직거래회수산,"경기 수원시 팔달구  덕영대로  693-0, 102호 (화서동,풍성프라자)",JHY_EDIT

대부여객터미널매점,"경기 안산시 단원구  대부황금로  1567-3, 7호 매점 (대부북동,대부고속카페리)",SEARCH

TGF(Total Golf Fits),"대구 수성구  고모로  157-0, (가천동)",SEARCH_ADD

주문식당,"경북 봉화군 석포면 석포로  185-0, (석포리)",한식_SUB

넘버25호텔 이천터미널점,"경기 이천시  이섭대천로  1229-0, 5-9층 (창전동)",매칭표_매핑

공원장묘원,인천 부평구 부평동 산57번지,매칭표_매핑

국대떡볶이,"강원 원주시 지정면 오크밸리2길  132-0, (판대리)",FRAN

대명셀파공부방,"경기 남양주시  경춘로1308번길  8-12, 102동 605호 (평내동,대명아파트)",JHY_EDIT

피엘컬러,"서울 강남구  논현로76길  24-0, 5002호 (역삼동)",

아람종합상사,"대전 서구  둔산대로117번길  66-0, 6층 623호 (만년동)",매칭표_매핑

밀양콜렉카,"경남 밀양시  북성로7길  34-2, 4동 103호 (내일동,신화아파트)",매칭표_매핑

말례밥집,"부산 중구  충장대로5번길  33-0, 1, 2층 (중앙동4가)",한식_SUB

부대장앤천족,"대구 달서구  화암로  327-0, 1층 103호 및 104호 (대곡동)",매칭표_매핑

참 바다수산,"경남 진주시 정촌면 삼일로106번길  11-0, 1층 (예하리)",JHY_EDIT

안트 방역,"충북 청주시 상당구  쇠내로145번길  15-0, A동 209호 (금천동,뉴타운아파트)",SEARCH_ADD

고돼지 심곡점,"경기 부천시  부일로432번길  13-0, 1층 일부 (심곡동)",SEARCH_ADD

브레댄코,"서울 강남구  영동대로85길  13-0, 1층 (대치동,대치동송석빌딩)",FRAN

건강밥상심마니(은계점),"경기 시흥시  은계번영길  23-0, 307,8,9호 (은행동)",한식_SUB

선식당 목동점,"서울 양천구  목동동로  73-0, 2층 203, 204호 (신정동,양지빌딩)",한식_SUB

바른수학연구소,"경기 남양주시 화도읍 경춘로2290번길  2-0, 111동 2203호 (월산리,남양주월산사랑으로부영1단지)",SEARCH_ADD

스트레오 클래식,"서울 서초구  효령로33길  50-0, 105동 303호 (방배동,방배서리풀이편한세상)",

해물먹을래,"경기 군포시  당동로22번길  21-0, 1층 일부호 (당동)",SEARCH_ADD

박샵,"충북 진천군 진천읍 남산길  79-0, 2층 (읍내리)",매칭표_매핑

이승기골프레슨,"서울 송파구  문정로4길  10-15, 103호 (문정동,남서울타운)",SEARCH_ADD

샤이닝케어,"서울 서초구  바우뫼로18길  20-0, 101동 603호 (양재동,양재리본타워1단지)",

제이학원,"인천 중구  하늘중앙로195번길  23-0, 602호 (중산동,하늘프라자)",

강진교SNS경영연구소,"광주 북구  무진성길  14-0, 1층 (두암동)",SEARCH_ADD

이은비영어교습소,"대구 달성군 다사읍 다사로  50-0, 401동 202호 (매곡리,죽곡삼정그린코아더베스트)",SEARCH

넘버원채널,"인천 서구  중봉대로612번길  10-20, 2층 (청라동)",매칭표_매핑

문가네분식집,"전남 영광군 영광읍 현암길  64-2, (남천리)",SEARCH

대구이글스 아이스하키,"대구 달서구  파도고개로  207-0, 지하층 (두류동)",

풀무원녹즙,"울산 남구  돋질로37번길  30-0, (신정동)",FRAN

아오리라멘 인천계양점,"인천 계양구  계양문화로  119-0, 지동101-1층 의 일부 개러지키친7호 (용종동)",SEARCH

신지 주식회사,"경기 부천시  지봉로  53-0, (역곡동)",매칭표_매핑

경애콜렉션,"서울 성동구  연무장13길  3-0, 201호 (성수동2가)",매칭표_매핑

환호비욘드어학원,"경북 포항시 북구  삼호로  395-0, (환호동,3층)",SEARCH_ADD

플라밍고,"경기 수원시 권선구  서둔로  12-0, 다동 212호 (고색동,연안아파트)",

시그니처아레나,"경기 안산시 단원구  초지2로  67-17, 2층 (초지동)",SEARCH

도무지(DOMOOJI),"제주 제주시 한경면 노을해안로  1166-0, (고산리)",

통뼈감자탕,"경남 김해시  활천로267번길  38-0, (삼방동)",FRAN

뮤직엔젤스피아노,"경기 하남시  대청로116번길  30-0, 111동 103호 (창우동,은행동부아파트)",

잉글리시아이(명동사랑채점),"경남 양산시  대운로  145-0, 103동 203호 (명동,명동삼한사랑채아파트)",JHY_EDIT

엘팍맥주상회 김해장유점,"경남 김해시  번화1로44번길  32-0, 202,203호 (대청동,대청프라자)",SEARCH

에이제이(AJ)공조,"경기 부천시  부천로39번길  11-0, 605호 (심곡동)",JHY_EDIT

주식회사제일렌트카강남영업소,"서울 강서구  마곡중앙5로1길  20-0, 518호 (마곡동,마곡나루역보타닉비즈타워)",SEARCH_ADD

최광춘,"서울 양천구  목동중앙남로16마길  35-5, 301호 (목동)",

푸라닭 인천산곡2동점,"인천 부평구  부흥로123번길  43-0, 1층 (산곡동)",SEARCH_ADD

지에스(GS)25 울산온양점(상품권),"울산 울주군 온양읍 온양로  159-0, 1층 (대안리)",JHY_EDIT

제이스카페,"경남 창원시 마산회원구  봉양로  73-0, 1층 (봉암동)",SEARCH_ADD

수림식당 화명동,"부산 북구  화명대로94번길  116-0, 201호 (화명동)",한식_SUB

기성공조시스템,"강원 강릉시  명륜로128번길  5-0, 1층 (포남동)",JHY_EDIT

시우수산 주식회사,"부산 서구  원양로  125-0, 2동 2층 (암남동)",JHY_EDIT

시암골팜,"전남 담양군 금성면 시암골로  180-55, 1층 (원천리)",매칭표_매핑

보튼 플라워 스튜디오,"충남 태안군 태안읍 동백로  385-33, 1층 (평천리,동그라미)",SEARCH

비비추,"서울 금천구  가산디지털1로  145-0, 1505호 (가산동,에이스하이엔드타워3차)",매칭표_매핑

(주)한국알에프주차시스템하나병원주차관리소,"충북 청주시 흥덕구  2순환로  1262-0, (가경동)",JHY_EDIT

공중보건연구소,"대구 중구  달구벌대로443길  43-0, 2층 201호 (삼덕동2가)",SEARCH_ADD

진넥스레이크뷰빌딩,"서울 송파구  오금로  99-0, (방이동)",JHY_EDIT

영우용역,"충북 증평군 증평읍 삼보로  112-0, (초중리)",

CREO,"서울 강남구  남부순환로  2909-0, 601호 (대치동,여천빌딩)",매칭표_매핑

마음챙김 MFHS 명상센터,"부산 수영구  광남로48번길  29-0, 3층 (남천동)",

엄지척왕족발,"경남 창원시 성산구  반송로  107-0, 2층 7호 (반림동,럭키아파트 일반상가 1차)",SEARCH

곱창고,"서울 강남구  강남대로96길  11-0, (역삼동)",FRAN

디저트39 서산해미점,"충남 서산시 해미면 서문1로  6-0, 1층 (읍내리)",SEARCH_ADD

고복식당,"광주 광산구  임방울대로  362-0, (수완동)",한식_SUB

윤선생 영어숲,"울산 북구  신천로  83-0, 301호 (매곡동,H플라자)",FRAN

숙이밥상,"경북 상주시 모동면 용호1길  26-2, 1층 (용호리)",한식_SUB

재단법인 산림힐링재단,"강원 영월군 상동읍 섬지골길  113-0, (내덕리)",

위너플레이펍,"광주 북구  저불로  35-0, 3층 (용봉동)",SEARCH_ADD

지니세상,"경기 파주시 문산읍 사임당로  133-1, 106동 902호 (선유리,선유전진타운)",

일성현장식당,"강원 삼척시  새천년도로  629-107, 강원도 삼척시 갈천동 104 (갈천동)",한식_SUB

9005 비어,"전북 익산시  중앙로  12-58, 1층 (중앙동2가)",SEARCH_ADD

케이크만들기단하나,"경기 용인시 처인구  금령로  86-0, 204호 (김량장동)",FRAN

함덕원식당,"제주 제주시 조천읍 신북로  422-0, 1-2층 (함덕리)",한식_SUB

(주)포인컴_백상앨리츠2차,"경기 성남시 중원구  여수울로15번길  8-3, 1층 (여수동)",JHY_EDIT

주식회사 국보산업,"경남 김해시  내덕로126번길  9-5, (내덕동)",

씨앗식당,"서울 강서구  강서로5가길  42-0, 102호 (화곡동,제일에비앙)",한식_SUB

이배달마약삼겹떡볶이,"충북 청주시 흥덕구 옥산면 오산1길  1-0, 1층 (오산리)",SEARCH

앙카페(uncafe),"경기 구리시  갈매중앙로  70-0, 1층 108호 (갈매동,이룸넘버원리치안)",SEARCH_ADD

에스앤비푸드,"서울 송파구  백제고분로18길  10-0, 1층 (잠실동)",매칭표_매핑

별혜윰,"경기 의정부시  범골로  137-0, (의정부동)",매칭표_매핑

샛별아동심리발달센터 운정점,"경기 파주시  교하로159번길  33-0, 5층 505호 (목동동)",JHY_EDIT

피움 캘리연구소,"경북 영천시 신녕면 대학길  105-0, A동 410호 (화남리,성덕대학교)",SEARCH_ADD

앤드류콰징플랫폼교류중심(ADL E-commerce Platform E,"인천 서구  고산후로161번안길  13-0, 201호 (원당동,호승빌)",

건강한 미래 교육개발원,"인천 미추홀구  석정로10번길  12-0, 지하 101호 (숭의동,신정아파트)",

비허밍스터디카페 부산장산점,"부산 해운대구  해운대로  794-0, 402호 (좌동,엘리움)",JHY_EDIT

데코하우스커튼,"대구 북구  침산로  93-0, 스펙트럼시티2층2203,2204,2205,2206호 (칠성동2가)",매칭표_매핑

성도산업,"경남 창원시 마산합포구  가포순환로  8-0, (가포동)",

원흥빌딩,"경기 용인시 수지구  수지로  125-0, (성복동)",JHY_EDIT

서양식당여유,"경기 평택시  비전5로  20-48, 204호 (비전동)",한식_SUB

보은종합시장상인회,"충북 보은군 보은읍 삼산로3길  12-0, 상가 (삼산리)",JHY_EDIT

필라인식당,"경북 포항시 남구  대이로60번길  4-1, 1층 (대잠동)",한식_SUB

도서체육센터,"강원 속초시  조양로  89-0, (조양동)",SEARCH_ADD

선인모바일케이스,"서울 용산구  새창로  181-0, (한강로2가)",SEARCH_ADD

포스(Force)수학,"강원 삼척시  청석로  64-0, 102동 501호 (정상동,청솔1차아파트)",JHY_EDIT

파리바게뜨,"충남 서산시  동서1로  164-0, 1-103(석남동,정원빌딩)",FRAN

창포알파수학공부방,"경북 포항시 북구  우창로  164-0, 108동 202호 (창포동,창포메트로시티1단지)",JHY_EDIT

눌림이네꼬기왕비빔밥.국밥,"충북 청주시 흥덕구  신율로118번길  26-0, 1층 (복대동)",SEARCH

국수랑 전이랑,"경기 광명시  일직로  72-0, C동 110호 (일직동)",SEARCH_ADD

롯데리아 세종소담점,"세종   한누리대로  2009-0, 1층 101-103호 (소담동)",SEARCH

경기 퀸스맘 의왕지사,"경기 의왕시  갈미2로  38-0, 4층 401-3호 (내손동)",

비너스(VENUS)체형관리,"인천 남동구  인하로  559-0, 3층 305호 (구월동,센트럴프라자)",SEARCH

문산식당 옥이점,"경기 파주시 문산읍 봉미로  19-0, 1층 (선유리)",한식_SUB

자미호프,"서울 구로구  구로동로  167-0, 2층 201호 (구로동,조일뉴타워)",SEARCH

옥란식당,"경기 안산시 단원구  화랑로  159-0, 111호 (초지동,단지내상가)",한식_SUB

에이치디쓰리디 디자인(HD3D 디자인),"경남 진주시  동부로169번길  12-0, B동 1702호 (충무공동)",

비에스(BS)공조,"서울 영등포구  여의대방로43나길  25-0, 107동 502호 (신길동,삼환아파트)",JHY_EDIT

파리바게뜨,"경기 수원시 영통구  인계로  239-0, 성일아파트상가2104호,112호 (매탄동)",FRAN

대한곱창 세종나성점,"세종   한누리대로  288-0, 114, 115, 116호 (나성동,세종갤러리밸류시티)",SEARCH

성심정리수납전문점,"충북 청주시 상당구  호미로201번길  6-5, 1층 (용정동)",

예당,"경기 안산시 상록구  예술광장로  63-0, 202호 (성포동,성포프라자)",FRAN

경성대학교 학생회관 식당,"부산 남구  수영로  309-0, 학생회관 식당 (대연동)",한식_SUB

무지개식당,"경기 성남시 수정구  성남대로  1342-0, GB105호 지하1층(복정동, 가천대학교 가천관)",한식_SUB

써니스윗,"전남 장흥군 대덕읍 거정2길  3-2, 1층 (신월리)",매칭표_매핑

노원학습관 구내식당,"서울 노원구  동일로204길  13-0, 1층 (중계동)",한식_SUB

원주 수 에어컨,"강원 원주시  관설안길  27-1, (관설동)",SEARCH_ADD

리빙아울렛DC백화점,"경기 남양주시 화도읍 마석로  28-0, 1층 (마석우리)",SEARCH_ADD

참숯무궁화식당,"경북 구미시  인동중앙로1길  24-0, 409동 807호 (황상동)",한식_SUB

모미락,"인천 계양구  오조산로89번길  9-0, 1층 101호 (용종동,태영프라자)",FRAN

리치망고,"경남 통영시  통영해안로  361-0, 1층 (동호동)",FRAN

노아앤파트너스,"인천 서구  솔빛로  93-0, 502동 1403호 (청라동,청라SKVIEW)",

이쿠얼키 주식회사,"서울 중구  동호로  310-0, A동 4층 (장충동2가,태광빌딩)",

이마트24 조선대 체대점,"광주 동구  필문대로  309-0, (서석동)",SEARCH

가마솥수제순대국밥,"경북 영천시 신녕면 치산효령로  52-0, 1층 (매양리)",SEARCH

하우스터디 대구대곡스터디카페,"대구 달서구  갈밭로  16-0, 7층 704호 (대곡동,남도빌딩)",JHY_EDIT

늘사랑머리방,"전남 여수시  쌍봉로  370-0, 상가동 2층 204호 (둔덕동,중앙하이츠@)",SEARCH_ADD

쑤기네,"대전 서구  괴정로54번길  28-0, 1층 (괴정동)",매칭표_매핑

청라 제임스권 영어학원,"인천 서구  중봉대로  588-0, 801호 (청라동,청라센트럴프라자)",SEARCH_ADD

(SNC) 나무아래장미,"경북 포항시 남구  해병로  115-0, 상가 (인덕동,가든빌)",매칭표_매핑

삼성척재활의학과의원,"서울 도봉구  노해로63길  84-3, 3층 (창동)",JHY_EDIT

노브랜드 대구학정점,"대구 북구  학정로  535-0, (학정동)",매칭표_매핑

도담찜닭 당진점,"충남 당진시  당진중앙1로  80-0, (읍내동)",SEARCH

GS25 N목포공병대점,"전남 영암군 삼호읍 아산길  14-27, 643 해군 3함대 공병대대 1층 (용당리)",SEARCH

더(THE) 달달 양원점,"서울 중랑구  양원역로  14-0, 1층 (망우동)",매칭표_매핑

수완태권도예절관,"광주 광산구  장덕로  138-0, 상가동 2층 202호, 203호 (수완동,해솔마을현진에버빌1단지)",SEARCH

지에스25 (GS25) 주안한신점(상품권),"인천 미추홀구  인하로352번길  10-0, (주안동)",JHY_EDIT

서울하수구,"서울 서대문구  모래내로  309-0, 101동 1105호 (홍은동,두산아파트)",

사계어촌식당,"제주 서귀포시 안덕면 산방로  382-0, (사계리)",한식_SUB

소담애뜰,"제주 제주시  다랑곶4길  31-0, 1층 102호 (노형동)",SEARCH_ADD

만식당육,"경기 여주시 강천면 강문로  593-0, 2층 (간매리)",한식_SUB

어정밥상,"전북 부안군 보안면 남포원천길  4-0, (남포리)",한식_SUB

수학친구,"서울 강북구  인수봉로  197-18, 1층 (수유동)",JHY_EDIT

도깨비한끼뚝딱밥집,"경기 부천시  역곡로14번길  42-0, 101동 103호 (역곡동,청도포그니에)",한식_SUB

신광시스템,"인천 부평구  경원대로1256번길  14-40, 503호 (부평동,라일실크빌)",

라라코스트 죽곡점,"대구 달성군 다사읍 대실역북로1길  5-5, 2층 202호 (매곡리)",SEARCH_ADD

다해활어시장식당,"대전 대덕구  덕암북로  85-0, 1층 (석봉동)",한식_SUB

다모아점핑,"경기 포천시  삼육사로  2221-0, 2층 (선단동)",매칭표_매핑

천돌축산성거점,"충남 천안시 서북구 성거읍 성거길  60-0, 102호 101호,102호 (천흥리)",SEARCH_ADD

하나로축산물센터,"대구 북구  침산남로44길  47-0, (침산동)",SEARCH_ADD

(A+) 늘찬 복지용구,"서울 송파구  백제고분로40길  31-0, 201호 (석촌동,신세계빌딩)",

용해복식당,"경북 포항시 남구 오천읍 냉천로  332-0, 1층 (원리)",한식_SUB

미들하우스,"인천 연수구  벚꽃로  106-0, 501호 (청학동,연수광장프라자)",

작심스터디카페부산기장점,"부산 기장군 기장읍 차성로344번길  34-0, 2층 (동부리)",JHY_EDIT

아이제스트,"전북 전주시 완산구  경기전길  15-0, 3층 (풍남동1가)",

예가건강원,"경북 구미시  상모로2길  3-2, 1층 (상모동)",SEARCH

마루스터디카페,"서울 영등포구  도림로  289-0, 2층 (신길동)",JHY_EDIT

맛있는 녀석들,"충북 청주시 흥덕구  성봉로  245-1, (복대동)",매칭표_매핑

부래맛돼지,"경남 통영시  안개로  15-8, (무전동)",SEARCH_ADD

와라와라,"충남 아산시  온천대로  1499-0, (온천동)",FRAN

디저트파는소녀,"인천 남동구  경인로  664-0, 1층 (간석동)",SEARCH_ADD

다원포차,"경기 안산시 단원구  와동공원로  44-0, 1층 (와동)",SEARCH

아미까(Amigga),"서울 마포구  숭문길  98-0, 상가 1층 109호 (염리동,마포자이3차)",매칭표_매핑

피자이탈리(PizzaItaly)양주고읍점,"경기 양주시  고읍남로  23-0, 1층 155호 (광사동,메가시티프라자)",SEARCH_ADD

원조 고향식당,"경기 동두천시  동광로81번길  6-0, (생연동)",한식_SUB

글로리식당,"서울 송파구  백제고분로42길  4-13, 1층 (송파동)",한식_SUB

경복대학교,"경기 남양주시 진접읍 경복대로  425-17, 1층 경복대로425 1층 (금곡리)",

멕시카나 평리점,"대구 서구  국채보상로49길  9-0, (평리동)",SEARCH

씨엔티(CNT)이음영어학원,"대구 북구  학정로  431-0, 4층 402호 (동천동)",SEARCH_ADD

경북도서관 북카페,"경북 예천군 호명면 도청대로  200-0, 1층 (산합리)",SEARCH_ADD

97도씨 해물칼국수 영종본점,"인천 중구  영종진광장로  39-0, 1층 101호 (중산동,오션테라스)",SEARCH

상록사실존중 행정사무소,"충남 계룡시 엄사면 번영2길  15-2, (엄사리)",JHY_EDIT

무빙출장세차,"경북 포항시 남구  대이로143번길  6-11, 506호 (이동)",SEARCH

엠에스(MS)영림자판기,"경기 광주시  고불로  450-3, (삼동)",JHY_EDIT

디자인포디엄,광주 북구 용봉동 1395-2,매칭표_매핑

이화만두,"서울 광진구  능동로  278-1, 1층 (능동)",SEARCH

참수리식당,"충남 아산시  무궁화안길  34-0, 1층 (초사동)",한식_SUB

가우스수학,"강원 원주시 지정면 신지정로  325-0, 410동 301호 (가곡리,EG-the1 아파트)",JHY_EDIT

메가스터디&mbest_무,"서울 용산구  한강대로  32-0, (한강로3가,엘지유플러스빌딩)",SEARCH

붐비어,"경기 의정부시  가능로  84-1, (의정부동)",FRAN

(주)이모꼭 차심리상담센터,"경기 성남시 분당구  야탑로65번길  11-0, 2층 (야탑동)",JHY_EDIT

명소식당,"경남 사천시  벌리4길  30-14, (벌리동)",한식_SUB

뉴싱싱허브다이어트,"경기 의정부시  전좌로  204-13, 지하1층 (호원동)",SEARCH

슬비밥상,"경기 수원시 영통구  동수원로514번길  11-0, 102호 (매탄동)",한식_SUB

진도드론교육원,"전남 진도군 고군면 오일시1길  40-0, 진도드론교육원 (고성리)",JHY_EDIT

소소린동대문,"서울 중구  다산로39길  72-0, 1층 (신당동)",매칭표_매핑

쌀로,"서울 종로구  인왕산로  5-0, (사직동)",SEARCH_ADD

앤치킨,"경기 안산시 단원구  광덕2로  194-4, 104호,105호 (고잔동)",FRAN

배내골맛집부산식당,"경남 양산시 원동면 배내로  910-0, (선리)",한식_SUB

(주)세종생활(지점),"경기 고양시 덕양구  읍내로  8-0, (고양동)",매칭표_매핑

수원화성오산축산업협동조합,"경기 수원시 팔달구  효원로  289-0, (인계동)",JHY_EDIT

머리염색방,"대구 서구  북비산로  323-0, 1층 (비산동)",SEARCH_ADD

이래서사람은배워야한다,"대구 서구  달구벌대로337길  45-0, 2층 (내당동)",

디지테크,"대구 북구  팔달북로3길  87-0, (노원동3가)",매칭표_매핑

세사리빙 홍성점,"충남 홍성군 홍성읍 조양로247번길  16-0, (고암리)",SEARCH_ADD

오대타워,"경기 구리시  갈매순환로  96-0, 1층,2층,3층,4층 (갈매동)",JHY_EDIT

어랑주막,"서울 금천구  시흥대로152길  30-0, 1층 4호 (독산동)",FRAN

지에스(GS)25 광주고은점(상품권),"경기 광주시 초월읍 산수로  517-0, 1층 (신월리)",JHY_EDIT

하양까망,"부산 북구  백양대로  1167-1, .",FRAN

GS25안동대학생회관점(상품권),"경북 안동시  경동로  1375-0, (송천동)",JHY_EDIT

타워프로빌아파트입주자대표회의,"제주 제주시  도령로  95-0, 101호 (연동,타워프로빌)",JHY_EDIT

GS25용인플라자CC점 (상품권),"경기 용인시 처인구 남사면 봉무로153번길  79-0, (통삼리)",JHY_EDIT

봄이밥상,"대구 달서구  성서서로36안길  17-0, 1층 105호 (갈산동)",한식_SUB

태강공조시스템,"인천 부평구  배곶북로9번길  5-0, 1층 101호 (십정동)",JHY_EDIT

불교회관 주차장,"부산 부산진구  중앙대로  913-0, (양정동)",JHY_EDIT

솔아로마,"제주 제주시  신광로8길  5-0, 2층 (연동)",매칭표_매핑

동탄비즈타워 관리운영위원회,"경기 화성시  동탄첨단산업1로  63-12, (영천동)",JHY_EDIT

원이식당,"대구 수성구  들안로  198-0, 1층 (황금동)",한식_SUB

대한감자탕,"부산 해운대구  양운로42번길  20-0, 105호 (좌동,조일프라자)",SEARCH

주식회사 씨채널,"서울 중구  세종대로2가길  36-0, 3층 (남대문로5가)",FRAN

보그룸소주방,"광주 광산구  임방울대로800번길  39-0, (월계동)",SEARCH_ADD

아담나무(adam namu),"경기 양평군 서종면 화서로  532-19, (노문리)",

불독피씨방,"서울 노원구  한글비석로  264-0, B01호 (중계동,중계그랜드프라자)",SEARCH

사곡보신원식당,"충남 공주시 사곡면 마곡사로  88-0, 지하1층 (호계리)",한식_SUB

진의학원,"서울 강남구  남부순환로  2927-0, 212호 (대치동,대치 클래시아)",

